id,office_id,name,numberofpeople,gender,alias,active,activeend,master,oldname,brain,encounter,named,memo,official,twitter,youtube,tiktok
1445,117,チキチキジョニー,2,22,,1995/1/1 0:00,,,,,大阪教育大学,,,https://www.shochikugeino.co.jp/talents/chikichikijohnny,,https://www.youtube.com/channel/UC87aafzdLhA5v0Wkwc4Zxxg,
1446,65,中央線withyou,2,22,,2001/1/1 0:00,2011/1/1 0:00,,,,高円寺会館でのお笑いライブ （たまたま隣に座った同士）,,,http://id1.fm-p.jp/8/michibata/,,,
1447,123,中央線シンデレラ,2,22,,,2014/1/1 0:00,,,,,,,,,,
1448,101,ちょーちんあんこー,2,22,,2014/1/1 0:00,,,,,,,,https://laugh-iine-pro.co.jp/talent/%e3%81%a1%e3%82%87%e3%83%bc%e3%81%a1%e3%82%93%e3%81%82%e3%82%93%e3%81%93%e3%83%bc/,,https://www.youtube.com/channel/UCf8npP2kv7LeiVB-XhdAh3Q,
1449,87,つーから,2,22,,2003/1/1 0:00,2009/1/1 0:00,,,,CS放送の番組での共演,,,https://ameblo.jp/two-carat/,,,
1450,104,ツヨシっ!,2,22,,2015/1/1 0:00,,,,,,,,https://geinin.dic-hyakka.com/%E3%83%84%E3%83%A8%E3%82%B7%E3%81%A3%EF%BC%81/,,https://www.youtube.com/channel/UC9Qfvx0Yb8IRFfqamrZXtAA,
1451,117,テングリ ,2,22,,2004/1/1 0:00,2007/1/1 0:00,,,,,,,,,,
1452,108,天才ピアニスト,2,22,,2016/1/1 0:00,,,,竹内知咲,NSC大阪校,,,https://profile.yoshimoto.co.jp/talent/detail?id=6698,,https://www.youtube.com/channel/UCS9TpP7vSsk3ka0muNgl05w,https://www.tiktok.com/@takeuchichisaki
1453,117,天然もろこし,2,22,,2002/1/1 0:00,,,,,放送芸術学院,,,https://www.shochikugeino.co.jp/talents/tennenmorokoshi,,https://www.youtube.com/channel/UCvAH_GSpZ3k29KAP_jaG8OA,
1454,104,TOY ,2,22,,2012/1/1 0:00,2020/1/1 0:00,,,,東京女子体育大学ダンス部の同級生,,,https://web.archive.org/web/20190502204930/https://www.watanabepro.co.jp/mypage/4000051/,,,
1455,104,東京ホルモン娘,2,22,,2006/1/1 0:00,2007/1/1 0:00,無し,,バービー,WCSの先輩後輩,,,,,,
1456,108,トゥナイト ,2,22,,1989/1/1 0:00,1999/1/1 0:00,,,両者,小学校からの同級生,,,https://web.archive.org/web/19980204054143/http://www.ktv.co.jp/bangumi/soldout/tonight.html,,,
1457,52,とうふ ,2,22,,2007/1/1 0:00,2008/1/1 0:00,,,,サンズエンタテインメントの同期所属同士,,,,,,
1458,114,時子とのぞみ,2,22,,2005/1/1 0:00,2007/1/1 0:00,,,,那須お笑い学校,,,https://web.archive.org/web/20160304142234/http://www.geocities.jp/nasutalent/yamanakatop.html,,,
1459,117,ドキドキ☆純情ガールズ,2,22,,2015/10/1 0:00,,,,,mixi,,,https://www.shochikugeino.co.jp/talents/dokidoki-junjogirls/,https://twitter.com/doki2info,https://www.youtube.com/channel/UC0YDLqvFy9iW08cPrTpQheA,
1460,108,Dr.ハインリッヒ,2,22,,2004/1/1 0:00,,,,山内幸,双子の姉妹,,,https://profile.yoshimoto.co.jp/talent/detail?id=5898,,https://www.youtube.com/channel/UCvbR4hzic_SOl20pOWGq4tQ,
1461,117,飛び魚 ,2,22,,2006/4/1 0:00,2015/12/1 0:00,,タバスコランナー（川堺）,,同じ事務所に所属していた同士,,,https://web.archive.org/web/20151213113625/http://www.shochikugeino.co.jp/talents/03/post-435.html,,,
1462,104,どんぐりパワーズ,2,22,,2010/1/1 0:00,,,D-ハツラツ,,NSC大阪校での同期生,,,https://www.watanabepro.co.jp/mypage/4000089/,,https://www.youtube.com/channel/UC10FmJT40tGXsfQGereLBZw,
