id,事務所id,名前,人数,性別,別名,active,activeend,師匠,旧コンビ名,ネタ製作者,出会い,由来,公式サイト,YouTube,tiktok
345,125,クロンモロン,2,11,,2004/1/1 0:00,2011/1/1 0:00,,,,,,https://web.archive.org/web/20110522171601/http://www.asaikikaku.co.jp/profile/kuronmoron/,,
346,7,KYデンジャラス,2,11,,2013/10/1 0:00,2018/4/1 0:00,,,,沖縄県立首里東高等学校の同級生,,,,
347,142,K2,2,11,,1992/1/1 0:00,,,パワーズ（堀部）CHA-CHA（勝俣）,,,,,,
348,108,ゲオルギー (お笑い芸人),2,11,,2012/1/1 0:00,2019/1/1 0:00,,一番しぼり,広永陸,大学時代,,,,
349,104,ケチン・ダ・コチン,2,11,,2007/4/1 0:00,2016/3/1 0:00,,,けいたまん,バンド仲間,,,,
350,108,ケツカッチン ,2,11,,2001/1/1 0:00,,,修・高山 清水圭・和泉修（和泉） ベイブルース（高山）,,和泉からの勧誘,,https://profile.yoshimoto.co.jp/talent/detail?id=161,,
351,104,ゲッターズ,2,11,,1999/1/1 0:00,2005/1/1 0:00,,トノサマガエルアマガエル ケミカルコミカル,,,,,,
352,108,けもの道 ,2,11,,1999/7/1 0:00,2005/11/1 0:00,,,,,,,,
353,108,げんきーず,2,11,,2000/1/1 0:00,,,フレンドランド,両者,,,https://profile.yoshimoto.co.jp/talent/detail?id=3217,,
354,37,元気丸 ,2,11,,2014/1/1 0:00,,,,,,,https://www.mamekana.co.jp/profile/genkimaru.html,,
355,108,ケン坊田中・松田キビキビ,2,11,,1992/1/1 0:00,2001/1/1 0:00,,,,,,,,
356,95,高円寺パルサー,2,11,,2007/1/1 0:00,2012/1/1 0:00,,,,,,,,
357,95,号泣,2,11,,1996/1/1 0:00,2008/1/1 0:00,,ダンククラッチ,赤岡典明,長野県の公文式教室（4歳当時）,,http://com.horipro.co.jp/profile/38shimada.html,,
358,146,高校ズ,2,11,,2016/1/1 0:00,,,九州地区私立全寮制男子高校ズ,,弘学館高等学校,,https://profile.yoshimoto.co.jp/talent/detail?id=3546,,
359,999,幸助・福助,2,11,,1992/1/1 0:00,,レツゴー三匹,それいけ！2匹,,,,,,
360,108,コウテイ,2,11,,2013/1/1 0:00,,,,九条ジョー,NSC,,,,
361,60,GO・JO,2,11,,1996/1/1 0:00,,,,,,,,,
362,33,珈琲ブレイクン,2,11,,2011/1/1 0:00,2016/1/1 0:00,,舌打ちキャプテン、イッコダテ、群青スパンキー（コテ） ポローロン、ヒーター、チャィムズ（いけだ）777（いけだ）,,,,,,
363,117,コーヒールンバ ,2,11,,2010/1/1 0:00,,,バーゲンダッシュ（平岡） ダブルマッチ（西原）,,松竹芸能東京養成所の同期生同士,,https://www.shochikugeino.co.jp/talents/coffeerumba/,,
364,108,ゴールデンボーイズ,2,11,,2008/1/1 0:00,2017/1/1 0:00,,,,,,http://ip.tosp.co.jp/i.asp?i=kaze2fukarete,,
365,65,ゴールドラッシュ ,2,11,,1999/1/1 0:00,2020/1/1 0:00,,,田邉利博,二人ともNSC出身,,http://www.twinkle-co.co.jp/profile/goldrush.html,,
366,146,コーンスターチ ,2,11,,2007/1/1 0:00,2017/1/1 0:00,,,,高校の友達,,https://profile.yoshimoto.co.jp/talent/detail?id=5123,,
367,39,こきざみインディアン,2,11,,1998/1/1 0:00,,,,,幼なじみ,,,,
368,999,極楽とんぼ,2,11,,1989/1/1 0:00,,,,加藤浩次,劇団東京ヴォードヴィルショー研究所「闘魂塾」,,,,
369,75,こぐれ,2,11,,2009/1/1 0:00,,,,,,,http://newstaffpro.com/talent/profile.html?cid=13,,
370,108,ココリコ,2,11,,1992/1/1 0:00,,,ココリコボンバーズ,田中直樹,豊中市立豊島小学校,,,,
