,URL,名前,メンバー,人数,性別,別名,結成年,結成-1-1,解散年,解散-1-1,事務所,活動時期,師匠,出身,影響,出会い,旧コンビ名,旧トリオ名,旧グループ名,現在の活動状況,芸種,ネタ作成者,現在の代表番組,過去の代表番組,同期,公式サイト,受賞歴,YouTube
1,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%BC%E3%83%A0%E3%82%B9%E3%83%88%E3%83%AD%E3%83%B3%E3%82%B0_(%E3%81%8A%E7%AC%91%E3%81%84%E3%82%B3%E3%83%B3%E3%83%93),アームストロング (お笑いコンビ),栗山直人 安村昇剛,2,11,,2000年,2000/1/1,2014年,2014/1/1,吉本興業,2000年 - 2014年,,NSC東京校6期,,幼稚園時代,シベリアンハスキー,,,解散 （栗山はタレント『くり』、安村はピン芸人『とにかく明るい安村』として活動）,漫才、コント,両者,なし,10カラット おはスタ,マキシマムパーパーサム（解散） ロシアンモンキー（解散） オリオンリーグなど,https://web.archive.org/web/20080210043729/http://armstrong.laff.jp/blog/,2007年 キモチスイッチCMバトル優勝 2010年 NHK新人演芸大賞演芸部門大賞,
2,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%82%A4%E3%82%B9%E3%82%AF%E3%83%AA%E3%83%BC%E3%83%A0_(%E3%81%8A%E7%AC%91%E3%81%84%E3%82%B3%E3%83%B3%E3%83%93),アイスクリーム (お笑いコンビ),勝山慎司 梶剛,2,11,,2005年,2005/1/1,2010年,2010/1/1,吉本興業,2005年7月 - 2010年6月19日 2014年10月18日,,NSC大阪校22期（梶） NSC大阪校23期（勝山）,,,勝山梶（ - 2009年12月） ホワイトブルー（勝山） アメリカバイソン（梶）,,,解散（それぞれピンで活動）,漫才,,,"エンタの神様 ""笑""たいむ (2008・2009) 爆笑ピンクカーペット 爆笑レッドカーペット など",友近 ガリガリガリクソン 中川パラダイス（ウーマンラッシュアワー） 吉田裕（勝山） キングコング 南海キャンディーズ スーパーマラドーナ NON STYLE（梶）,,2008年ABCお笑い新人グランプリ新人賞,
3,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%82%A4%E3%83%87%E3%83%B3%E3%83%86%E3%82%A3%E3%83%86%E3%82%A3_(%E3%81%8A%E7%AC%91%E3%81%84%E3%82%B3%E3%83%B3%E3%83%93),アイデンティティ (お笑いコンビ),田島 直弥 見浦 彰彦,2,11,,2004年,2004/1/1,,,太田プロダクション,2005年 -,,専門学校東京アナウンス学院,,,,,,テレビ・ライブ・インターネット,漫才、コント,田島 直弥,,,オリエンタルラジオ トレンディエンジェル 柳原可奈子 酒井健太（アルコ&ピース） せじも（ねじ）など,,太田プロライブ『月笑』2017年度王者 太田プロライブ『月笑』2018年度王者,https://www.youtube.com/channel/UCxairDZpr_PzbzIaGLv7Q2Q
4,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%82%A4%E3%83%8A%E3%83%A9%E3%83%83%E3%83%88,アイナラット,わっしゃる 当麻,2,11,,2020年5月,2020/5/1,,,,,,NSC大阪校43期,,NSC,,,,,漫才、コント,当麻,,,いこい,,,
5,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%82%A4%E3%83%AD%E3%83%B3%E3%83%98%E3%83%83%E3%83%89,アイロンヘッド,ナポリ 辻井亮平,2,11,,2007年,2007/1/1,,,吉本興業,2008年 -,,NSC大阪校30期,,京都産業大学の学生寮,,,,テレビ・ライブなど,コント、漫才,両者,,,バンビーノ 令和喜多みな実 尼神インター  THIS IS パンなど,https://profile.yoshimoto.co.jp/talent/detail?id=5069,2013年 第1回 歌ネタ王決定戦 第8位 2014年 平成26年度 NHK新人お笑い大賞大賞[1] 2016年 第37回 ABCお笑いグランプリ 決勝3位 2018年 第6回 歌ネタ王決定戦 3位 2020年 第8回 歌ネタ王決定戦 6位,https://www.youtube.com/channel/UCWbL_7uDRd2Z-XjTFBuyLww
6,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%82%A4%E3%83%B3%E3%82%B7%E3%83%A5%E3%82%BF%E3%82%A4%E3%83%B3_(%E3%81%8A%E7%AC%91%E3%81%84),アインシュタイン (お笑い),稲田直樹 河井ゆずる,2,11,,2010年,2010/1/1,,,吉本興業東京本部,2010年11月 -,,NSC大阪校26期（河井） NSC大阪校28期（稲田）,,,河井山名（河井） バンパイア（稲田） ゴリラーズ,,,テレビ、ライブなど,漫才、コント,両者 （稲田が大筋を考え、河井が添削）,,,和牛 かまいたち 天竺鼠 藤崎マーケットなど （河井） 祇園 ラフ次元 すゑひろがりず ニュークレープなど （稲田）,,第99回 キタイ花ん 優勝 2011年 オールザッツ漫才 優勝 2014年 オールザッツ漫才 優勝 2016年 第1回上方漫才協会大賞大賞 2018年 第48回NHK上方漫才コンテスト優勝,https://www.youtube.com/channel/UCOQbu_y-fT-_ZvzCsz1r-kw
7,https://ja.wikipedia.org/wiki/%E9%9D%92%E8%8A%9D%E9%87%91%E5%A4%AA%E3%83%BB%E7%B4%8B%E5%A4%AA,青芝金太・紋太,青芝金太 青芝紋太,2,11,,1978年,1978/1/1,1983年,1983/1/1,和光プロダクション,1978年 - 1983年,青芝フック,松竹芸能タレント養成所（金太）,,,,,,解散（モンタは青芝フック・モンタとして活動）,,,,怪人二十面相と少年探偵団 怪人二十面相と少年探偵団Ⅱ,,,1979年 NHK上方漫才コンテスト 優秀敢闘賞 1980年 上方漫才大賞 新人奨励賞 1982年 日本テレビ「お笑いスター誕生!!」10週勝ち抜き8代目グランプリ,
8,https://ja.wikipedia.org/wiki/%E9%9D%92%E8%8A%9D%E3%83%95%E3%83%83%E3%82%AF%E3%83%BB%E3%82%AD%E3%83%83%E3%82%AF,青芝フック・キック,青芝フック 青芝キック,2,11,,1971年,1971/1/1,1996年,1996/1/1,和光プロダクション,1971年 - 1996年,,,,,,,,解散（フックはタレントとして活動）,漫才,,なし,,,http://www.wakopro.co.jp/,,
9,https://ja.wikipedia.org/wiki/%E9%9D%92%E7%A9%BA%E4%B8%80%E9%A2%A8%E3%83%BB%E5%8D%83%E9%A2%A8,青空一風・千風,青空一風 青空千風,2,11,,2012年,2012/1/1,,,,,青空一歩・三歩 9代目林家正蔵,,福山雅治 爆笑問題,,中村千葉,,,テレビ・ライブなど,漫才,両者,,,,,,
10,https://ja.wikipedia.org/wiki/%E9%9D%92%E7%A9%BA%E4%B8%80%E6%AD%A9%E3%83%BB%E4%B8%89%E6%AD%A9,青空一歩・三歩,青空一歩 青空三歩,2,11,,1978年,1978/1/1,,,,,青空千夜・一夜,,,,,,,,漫才,,,,,,1983年 第31回NHK新人漫才コンクール最優秀賞 1995年 真打昇進,https://www.youtube.com/channel/UCVQj2QrU1V1IUYaInKlw0AA
11,https://ja.wikipedia.org/wiki/%E9%9D%92%E7%A9%BA%E7%90%83%E5%85%90%E3%83%BB%E5%A5%BD%E5%85%90,青空球児・好児,青空球児 青空好児,2,11,,1965年,1965/1/1,,,漫才協会,1965年 -,,,,,,,,政治家（青空こうじ）,漫才,,,年忘れ漫才競演 進め!フィンガー5 東西寄席 お笑い球好列車 てんぷく笑劇場 風鈴捕物帳など,,,1973年 第21回NHK新人漫才コンクール優勝 1979年 真打昇進,
12,https://ja.wikipedia.org/wiki/%E9%9D%92%E7%A9%BA%E5%8D%83%E5%A4%9C%E3%83%BB%E4%B8%80%E5%A4%9C,青空千夜・一夜,青空 千夜（本名・酒井 義人） 青空 一夜（本名・小板橋 喜八郎）,2,11,,1954年,1954/1/1,1991年（千夜の死去に伴う）,1991/1/1,,1954年 - 1991年,コロムビア・トップ・ライト （青空一門）,,,歌謡ショーの司会,,,,,漫才,,,やじうま寄席,,,第7回NHK漫才コンクール優勝（1959年） 芸術祭優秀賞（1969年）,
13,https://ja.wikipedia.org/wiki/%E9%9D%92%E7%A9%BA%E6%9D%B1%E5%85%90%E3%83%BB%E8%A5%BF%E5%85%90,青空東児・西児,青空東児 青空西児,2,11,東のこ・西のこ,,,,,,,コロムビア・トップ・ライト,,,,,,,,漫才,,,,,,,
14,https://ja.wikipedia.org/wiki/%E3%81%82%E3%81%8B%E3%81%84%E3%82%89%E3%81%8B,あかいらか,長谷川ヨシテル 内田英輔,2,11,,2009年4月,2009/1/14,2013年10月,2013/1/1,ワタナベエンターテインメント,2009年 - 2013年,,ワタナベコメディスクール10期,,,,,,解散 （長谷川はピン、内田はコンビ「バッドナイス」で活動）,漫才,,,,乙、マービンJr.、くりおね、マンテンブラザーズ など,,,
15,https://ja.wikipedia.org/wiki/%E3%81%82%E3%81%8C%E3%81%99%E3%81%91,あがすけ,タツキ・マイアミ 吉村和彬,2,11,ココ夏三郎（タツキ）,2012年,2012/1/1,,,グレープカンパニー,,,日本 山形県,,山形県立山形南高等学校 ・ラグビー部,,,,ライブ・テレビ等,漫才、肉体芸,吉村和彬,,,,,,
16,https://ja.wikipedia.org/wiki/%E6%9A%81%E7%85%A7%E9%9B%84%E3%83%BB%E5%85%89%E9%9B%84,暁照雄・光雄,暁照雄 暁光雄,2,11,,1987年,1987/1/1,2015年5月,2015/5/1,松竹芸能,1987年 - 2015年,東洋軒雷右衛門,,,,暁照夫・光夫,,,,漫才,,,NHKラジオ上方演芸会,,,,
17,https://ja.wikipedia.org/wiki/%E3%81%82%E3%81%8B%E3%81%BC%E3%81%97%E2%98%86%E3%81%93%E3%81%BC%E3%81%97,あかぼし☆こぼし,小法師 秀暁 赤星 亨,2,11,,2002年,2002/1/1,2011年,2011/1/1,元よしもとクリエイティブ・エージェンシー広島事務所,,,広島市 / NSC広島校1期生,,,,,,,漫才・コント,,,,ボールボーイ フリータイム フロントライン ランス39号,,,
18,https://ja.wikipedia.org/wiki/%E8%B5%A4%E3%82%82%E3%81%BF%E3%81%98,赤もみじ,村田大樹 阪田ベーカリー,2,11,,2016年,2016/1/1,,,マセキ芸能社,2016年 -,,NSC東京校20期（阪田）,,ハイスクールマンザイ,うぇるきん、パスタ（阪田） アンティーク、クイーン（村田）,,,ライブ、テレビ、ラジオなど,漫才,両者,赤もみじの借金パンラジオ(GERA放送局),,加賀翔（かが屋） 三森大輔（スタンダップコーギー）など（村田） しんぼる ラタタッタ ブラゴーリ 鈴木バイダンなど（阪田）,https://www.maseki.co.jp/talent/akamomiji,,
19,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%82%AD%E3%82%AB%E3%83%B3,アキカン,清水アキラ 栗田貫一,2,11,,2004年,2004/1/1,,,,2004年 -,,,,,,,,,漫才,,,,,,,
20,https://ja.wikipedia.org/wiki/%E3%81%82%E3%81%8D%E3%81%92%E3%82%93,あきげん,秋山良人 石井元気,2,11,,2004年,2004/1/1,,,マセキ芸能社,2004年 -,,東京アナウンス学院芸能バラエティ科,,東京アナウンス学院,,,,テレビ・ライブなど,漫才,,あきげんの江東上陸作戦! タウン誌TVあらぶんちょ!,コンバット コンバットII,,https://www.maseki.co.jp/talent/akigen,,
21,https://ja.wikipedia.org/wiki/%E7%A7%8B%E7%94%B0%E4%B8%80%E5%8F%B7%E3%83%BB%E4%BA%8C%E5%8F%B7,秋田一号・二号,秋田一号 秋田二号,2,11,,,,1970年代,1970/1/1,,,,,,,,,,,漫才,,,新日本紀行,,,,
22,https://ja.wikipedia.org/wiki/%E7%A7%8B%E7%94%B0A%E3%82%B9%E3%82%B1%E3%83%BBB%E3%82%B9%E3%82%B1,秋田Aスケ・Bスケ,秋田Aスケ 秋田Bスケ,2,11,,1946年,1946/1/1,,,吉本興業→大滝エージェンシー→株式会社パルティール,,秋田實,,,,,,,,漫才,,,上方お笑い大賞,,,,
23,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%82%AD%E3%83%8A_(%E3%81%8A%E7%AC%91%E3%81%84%E3%82%B3%E3%83%B3%E3%83%93),アキナ (お笑いコンビ),秋山賢太 山名文和,2,11,,2012年,2012/1/1,,,吉本興業,2012年10月15日 -,,NSC大阪校25期（秋山） NSC大阪校26期（山名）,とんねるず（山名）  山田邦子（秋山）,事務所,金時（秋山） 河井山名（山名）　ソーセージ（両者）,,,,コント、漫才,山名文和[1],週刊ヤングフライデー マンモスター＋ せやねん! 痛快!明石家電視台   Jフットニスタ,もってる!? モテるくん 吉本超合金A もう少し、嫌な奴 アキナ・和牛・アインシュタインのバツウケテイナー,秋山 銀シャリ ジャルジャル プラス・マイナス クロスバー直撃山名 かまいたち 和牛 藤崎マーケット 天竺鼠 河井ゆずる（アインシュタイン）,https://profile.yoshimoto.co.jp/talent/detail?id=3475,2013年 第1回MBSラジオ演芸 ヤングスネーク杯 優勝 2015年 第45回NHK上方漫才コンテスト 優勝 2017年 NHK新人お笑い大賞 優勝,https://www.youtube.com/channel/UC3eIbNXyEDPjLriza8fbIJA
24,https://ja.wikipedia.org/wiki/%E7%A7%8B%E5%B1%B1%E5%8F%B3%E6%A5%BD%E3%83%BB%E5%B7%A6%E6%A5%BD,秋山右楽・左楽,秋山右楽 秋山左楽,2,11,,1926年,1926/1/1,,,吉本興業,,,,,,,,,,漫才,,,ダイラケ二等兵,,,,
25,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%82%AF%E3%82%B7%E3%83%A3%E3%83%B3,アクシャン,杉崎政宏 安井順平,2,11,,1995年,1995/1/1,,,ワタナベエンターテインメント （※現在は安井のみ所属）,1995年 - 2002年8月7日,,,,,,,,活動休止中（杉崎は役者、安井はピンで活動）,コント,,なし,ボキャブラ天国 爆笑オンエアバトル など,,,,
26,https://ja.wikipedia.org/wiki/%E3%81%82%E3%81%8F%E3%81%B3%E8%99%AB,あくび虫,草野伸一朗 米澤健,2,11,,1997年,1997/1/1,2003年,2003/1/1,松竹芸能,1997年4月 - 2003年,,,,,,,,解散,コント,,,爆笑オンエアバトル など,,,,
27,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%82%B2%E3%82%A4%E3%83%B3_(%E3%81%8A%E7%AC%91%E3%81%84%E3%82%B3%E3%83%B3%E3%83%93),アゲイン (お笑いコンビ),けーた ノリ,2,11,,2013年,2013/1/1,,,松竹芸能→フリー→ライジングアップ,2013年4月 -,,,,,,,,ライブ・テレビなど,漫才、コント,両者,あらぶんちょ!,,,https://www.rising-up.jp/again,,
28,https://ja.wikipedia.org/wiki/%E3%81%82%E3%81%94%26%E3%81%8D%E3%82%93%E3%81%9E%E3%81%86,あご&きんぞう,あご勇 桜金造,2,11,,1980年,1980/1/1,1984年,1984/1/1,太田プロダクション → オフィスマシェッラ,1980年 - 1984年,,,,,,,,,,,,お笑いスター誕生 麻世の真夜中デート 爆笑!!ドットスタジオなど,,,,
29,https://ja.wikipedia.org/wiki/%E6%B5%85%E8%8D%89%E3%82%AD%E3%83%83%E3%83%89,浅草キッド,水道橋博士 玉袋筋太郎,2,11,,1987年,1987/1/1,,,,1987年 -,ビートたけし,浅草フランス座,ビートたけし、高田文夫、島田洋七,ビートたけしの追っかけ,,,,テレビ・ライブなど,漫才,水道橋博士,別冊アサ秘ジャーナル,草野☆キッド 浅草橋ヤング洋品店 浅草キッドのオールナイトニッポン 浅草キッドの奇跡を呼ぶラジオ,恵俊彰（ホンジャマカ） 東野幸治 石田靖 勝俣州和 辻本茂雄 ぜんじろう 前田勝（ティーアップ） 亀山房代,https://tap-1.jp/kid/,『ザ・テレビ演芸』チャンピオン,
30,https://ja.wikipedia.org/wiki/%E6%9C%9D%E5%80%89%E5%B0%8F%E6%9D%BE%E5%B4%8E,朝倉小松崎,朝倉隼人 小松崎和也,2,11,,2007年,2007/1/1,2011年,2011/1/1,サンミュージックプロダクション→フリー,2007年5月 - 2011年5月 2015年,,ヒューマンアカデミーお笑い芸人養成講座（小松崎）,,インターネット上での相方募集の呼びかけ,,,,解散 （小松崎はコンビ「ハナイチゴ」で活動）,漫才、コント,小松崎和也,,オンバト+ 爆笑レッドカーペット 爆笑オンエアバトル エンタの天使,,,,
31,https://ja.wikipedia.org/wiki/%E3%81%82%E3%81%95%E3%82%8A%E3%83%BB%E3%81%8B%E3%81%A4%E3%81%8A,あさり・かつお,立花あさり 土佐かつお,2,11,,1992年,1992/1/1,2006年,2006/1/1,吉本興業,1992年3月 - 2006年3月,桂三枝（現・六代桂文枝）(あさり) オール阪神(かつお),,,,立花あさり・土佐かつお,,,解散（あさりは構成作家として活動、かつおは引退）,漫才,,,オールザッツ漫才 爆笑BOOING,中川家 たむらけんじ ケンドーコバヤシ 陣内智則など,,NHK新人演芸大賞演芸部門優秀賞（1994年） NHK上方漫才コンテスト優秀賞（1996年）,
32,https://ja.wikipedia.org/wiki/%E3%81%82%E3%81%95%E3%82%8A%E3%81%A9,あさりど,堀口文宏 川本成,2,11,,1994年,1994/1/1,,,萩本企画,1994年 -,,欽ちゃん劇団1期生,,欽ちゃん劇団1期生,,,,テレビ・ライブなど,漫才、コント,,,笑っていいとも!など,アンタッチャブル Hi-Hiなど,http://www.hagimoto-kikaku.co.jp/asarido/,,
33,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%82%B8%E3%82%A2%E3%83%B3%E3%83%88%E3%83%BC%E3%83%AB,アジアントール,菅野祐樹 伊集院純正,2,11,,2004年4月,2004/4/1,2019年6月,2019/6/1,吉本興業東京本社,2004年 - 2019年,,東京NSC10期,,,,,,,漫才,,,,,,,
34,https://ja.wikipedia.org/wiki/%E8%B6%B3%E8%BB%BD%E3%82%A8%E3%83%B3%E3%83%9A%E3%83%A9%E3%83%BC,足軽エンペラー,山里亮太 西田富男,2,11,,1999年,1999/1/1,2003年,2003/1/1,吉本興業,1999年 - 2003年,,NSC大阪校22期,,,,,,解散（山里のみ別コンビで活動）,漫才,山里亮太,,爆笑オンエアバトル など,,,,
35,https://ja.wikipedia.org/wiki/%E6%9D%B1%E4%BA%AC%E4%BA%8C%E3%83%BB%E4%BA%AC%E5%A4%AA,東京二・京太,東京二 東京太,2,11,,,,1985年,1985/1/1,,,Wけんじ（東京二）、松鶴家千代若・千代菊（東京太）,,,,西若二・菊二,,,,漫才,,,ぶらり信兵衛 道場破り,,,1969年  NHK新人演芸大賞優勝,
36,https://ja.wikipedia.org/wiki/%E6%9D%B1%E4%BA%AC%E4%B8%B8%E3%83%BB%E4%BA%AC%E5%B9%B3,東京丸・京平,東京丸 東京平,2,11,,1972年,1972/1/1,,,,1972年 - 2021年,東京二・京太,,,,,,,死去（京丸） ピン（京平）,漫才,,,,,http://kyoumarukyouhei.web.fc2.com/,1978年：第26回NHK新人漫才コンクール最優秀賞 1979年：第7回放送演芸大賞ホープ賞 1982年：『お笑いスター誕生!!』金賞,
37,https://ja.wikipedia.org/wiki/%E6%9D%B1%E3%83%A4%E3%82%B8%E3%83%AD%E3%83%BC%E3%83%BB%E3%82%AD%E3%82%BF%E3%83%8F%E3%83%81,東ヤジロー・キタハチ,東ヤジロー 東キタハチ,2,11,ヤジキタ,1935年,1935/1/1,1953年,1953/1/1,松竹芸能、キングレコード,1935年 - 1953年,東喜代駒,,,,ゴールデン・バット,,,,漫才,,,,,,,
38,https://ja.wikipedia.org/wiki/%E9%81%8A%E3%81%B3%E5%B1%8B,遊び屋,洋平 カミムラカズヤ,2,11,,2003年,2003/1/1,,,マセキ芸能社→フリー→SMA NEET Project→フリー,2003年5月 -,,ワタナベコメディスクール2期,とんねるず,中学校の同級生,ジンギスカン,,,ライブ、テレビ,漫才,洋平,,,バービー（フォーリンラブ） 山陽ピッツァ しんのすけとシャン ハライチ など,,,
39,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%83%E3%83%81%E3%83%A3%E3%83%B3%E3%82%BA,アッチャンズ,近藤夢 近藤六,2,11,あっちゃん,2008年,2008/1/1,2015年,2015/1/1,オフィス北野,2008年 - 2015年,ビートたけし,,ビートたけし,,あっちゃん,,,解散,コント、漫才,お互い,コンビとしての活動なし,あらびき団,東京NSC5期,,,
40,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%83%E3%83%91%E3%83%AC%E3%83%BC%E3%83%89,アッパレード,木尾陽平 吉田圭佑,2,11,,2017年,2017/1/1,2018年,2018/1/1,吉本興業,2017年2月24日 - 2018年9月30日,,NSC大阪校31期,,,シンクロック（木尾） ブレイブマン（吉田）,,,解散（木尾は「アッパレード木尾」としてピンで活動、吉田は引退）,,,,,インディアンス、セルライトスパ、ロングコートダディ,,,
41,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%83%E3%83%97%E3%83%80%E3%82%A6%E3%83%B3,アップダウン,阿部浩貴 竹森巧,2,11,アップ,1996年4月,1996/1/14,,,よしもとクリエイティブ・エージェンシー,1996年 -,,札幌吉本のオーディション番組,,北海道札幌月寒高等学校,,,,テレビ、ライブ,コント、漫才、歌ネタ,,,,Bコース ライセンス ロザン すっちーなど,https://profile.yoshimoto.co.jp/talent/detail?id=188,2007年第11回博士と助手?細かすぎて伝わらないモノマネ選手権?優勝（阿部）,
42,https://ja.wikipedia.org/wiki/%E3%81%82%E3%81%A9%E3%81%B0%E3%82%8B%E3%83%BC%E3%82%93,あどばるーん,新山大 小野ますのぶ,2,11,,2002年,2002/1/1,,,ソーレアリア,2002年 -,,,,,シクラメン兄弟・アドバルーン,,,テレビ・ラジオ・ライブなど,漫才 コント,両者,,,,http://solearia.com/adoba.html,,
43,https://ja.wikipedia.org/wiki/ADVANCE_(%E3%81%8A%E7%AC%91%E3%81%84%E3%82%B3%E3%83%B3%E3%83%93),ADVANCE (お笑いコンビ),カズキ ユウキ・ミズハラ,2,11,,2013年,2013/1/1,,,マセキ芸能社 →フリー,2013年3月7日 -,,,,双子の兄弟,,,,ライブ中心,漫才、コント,ユウキ・ミズハラ,,,,https://advanceofficial.wixsite.com/website/profile,,
44,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%8A%E3%82%AF%E3%83%AD%E3%83%8B%E3%82%B9%E3%83%86%E3%82%A3%E3%83%83%E3%82%AF,アナクロニスティック,長谷川巧貴 ホビー,2,11,アナクロ,2014年,2014/1/1,,,プロダクション人力舎,2015年5月 -,,スクールJCA23期,アンタッチャブル ドランクドラゴン,高校、大学の同級生,,,,ライブ、テレビ,コント,長谷川巧貴,,,いかちゃん なかよし 肉体戦士ギガ など,http://www.p-jinriki.com/talent/anacronistic/,,
45,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%8B%E3%83%9E%E3%83%AB%E6%A2%AF%E5%9B%A3,アニマル梯団,おさる コアラ,2,11,アニマル,1991年,1991/1/1,2000年,2000/1/1,浅井企画,1991年 - 2000年 2008年9月28日 2014年,,,,関西創価高等学校の同級生,,,,解散（共にピンで活動）,コント、漫才,,ニコジョッキー「モロわん」,ボキャブラ天国,くりぃむしちゅー 土田晃之,,,
46,https://ja.wikipedia.org/wiki/%E3%81%82%E3%81%B0%E3%82%8C%E3%83%8C%E3%83%B3%E3%83%81%E3%83%A3%E3%82%AF,あばれヌンチャク,竹内幸輔 斎藤恭央,2,11,,1999年,1999/1/1,2005年,2005/1/1,石井光三オフィス,1999年10月 - 2005年4月,,スクールJCA7期（斉藤）,,,,,,解散（斉藤はピン芸人、竹内は声優として活動）,コント,斎藤恭央,,爆笑オンエアバトル エンタの神様 笑いの金メダル など,,,,
47,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%93%E3%83%AA%E3%83%86%E3%82%A3%E3%83%A2%E3%83%B3%E3%82%AD%E3%83%BC,アビリティモンキー,永井塁 後藤亮介,2,11,,2008年,2008/1/1,2009年,2009/1/1,ホリプロコム,2008年 - 2009年11月,,目黒笑売塾6期生,,,,,,解散 （後藤は『ボストンミルク』で活動）,漫才,,,テレ遊びパフォー! 爆笑トライアウト 爆笑レッドシアター,,,,
48,https://ja.wikipedia.org/wiki/%E3%81%82%E3%81%B2%E3%82%8B%E3%81%A1%E3%82%83%E3%82%93%E3%82%B9%E3%83%9D%E3%83%B3%E3%82%B8%E3%82%AF%E3%83%A9%E3%83%96,あひるちゃんスポンジクラブ,岩本 貴一 森 奨夢,2,11,,2005年,2005/1/1,,,松竹芸能,2007年 -,,松竹芸能タレントスクール東京校10期,,,もりかずき,,,,,,,,RICAちゃん カモシダせぶん せつこ お祭りBoy,https://www.shochikugeino.co.jp/talents/ahiruchanspongeclub/,,
49,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%9B%E3%83%9E%E3%82%A4%E3%83%AB%E3%83%89,アホマイルド,坂本雅仁 高橋邦彦（クニ）,2,11,,1999年,1999/1/1,2015年,2015/1/1,吉本興業,1999年 - 2015年,,NSC東京校4期,,武相高校,,,,解散（キュートンの活動は継続）,コント,,,エンタの神様 エンタの天使 爆笑ピンクカーペット 爆笑オンエアバトル あらびき団 など,インパルス ロバート 森三中 椿鬼奴 POISON GIRL BAND など,,2003年 今宮子供えびすマンザイ新人コンクール福笑い大賞,
50,https://ja.wikipedia.org/wiki/%E3%81%82%E3%81%BE%E7%A6%8F,あま福,宇田川 晃希 鈴木 浩之,2,11,,2015年,2015/1/1,,,ホリプロコム,2015年3月 - 2017年9月,,,,,,,,解散,漫才、コント,,,,,,,
51,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%9E%E3%83%AC%E3%82%B9%E5%85%84%E5%BC%9F,アマレス兄弟,アマレス兄  アマレス太郎,2,11,,2016年,2016/1/1,,,フリー,アマレス兄1995年デビュー アマレス太郎2013年デビュー,,,,,,,,,レスリング,,,,,,"細かすぎて伝わらないモノマネ選手権第12回優勝(アマレス兄)・第23回第3位
ABCお笑いグランプリ2017,2018最終予選進出
キングオブコント2019、2020準々決勝進出
R-1ぐらんぷり準々決勝進出(アマレス太郎)",
52,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%9F%E3%83%BB%E3%83%9C%E3%83%AD%E3%83%AD%E3%82%AF%E3%83%BB%E3%83%9B%E3%82%A8%E3%83%BB%E3%83%87%E3%82%B7%E3%82%A7%E3%83%BB%E3%82%B8%E3%82%A7%E3%83%86%E3%83%BB%E3%83%81%E3%83%A3%E3%82%A4,アミ・ボロロク・ホエ・デシェ・ジェテ・チャイ,学 アベディン,2,11,アミボロ,2004年,2004/1/1,2007年,2007/1/1,稲川素子事務所,2004年 - 2007年,,,,,,,,解散（学は別コンビ、アベディンは俳優として活動）,コント,,なし,,,,,
53,https://ja.wikipedia.org/wiki/%E9%9B%A8%E4%B8%8A%E3%81%8C%E3%82%8A%E6%B1%BA%E6%AD%BB%E9%9A%8A,雨上がり決死隊,蛍原徹 宮迫博之,2,11,,1989年,1989/1/1,,,吉本興業 （2019年7月19日以降蛍原のみ）,1989年 - 2019年 （事実上活動休止中）,,NSC大阪校7期,ダウンタウン,NSC,ホワイト&ホワイト（蛍原） ぴいぷる（宮迫）,,,コンビ活動は事実上休止中 蛍原はテレビ、宮迫はYouTubeを主軸に活動中,コント、漫才,両者,,雨上がり決死隊のトーク番組アメトーーク! ワンナイR&R 芸人報道 世界行ってみたらホントはこんなトコだった!? 雨上がり決死隊べしゃりブリンッ! リンカーン,極楽とんぼ 名倉潤（ネプチューン） ベイブルース トゥナイト たかおみゆき 矢部美幸 安尾信乃助 など,,1992年 ABCお笑い新人グランプリ優秀新人賞 1992年 上方お笑い大賞銀賞 1993年 上方漫才大賞新人奨励賞,
54,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%A1%E3%83%87%E3%82%AA_(%E3%81%8A%E7%AC%91%E3%81%84%E3%82%B3%E3%83%B3%E3%83%93),アメデオ (お笑いコンビ),森枝天平 大川原篤史,2,11,,1998年,1998/1/1,2004年,2004/1/1,プロダクション人力舎,1999年 - 2004年,,スクールJCA7期,,養成所,,,,解散（森枝は引退、大川原は別トリオで活動）,漫才,,,爆笑オンエアバトル など,千鳥 天津 レギュラー ロバート 森三中 インパルス 椿鬼奴,,,
