,URL,名前,メンバー,人数,性別,別名,結成年,結成-1-1,解散年,解散-1-1,事務所,活動時期,師匠,出身,影響,出会い,旧コンビ名,旧トリオ名,旧グループ名,現在の活動状況,芸種,ネタ作成者,現在の代表番組,過去の代表番組,同期,公式サイト,受賞歴,YouTube
787,https://ja.wikipedia.org/wiki/%E3%81%A9%E3%82%8A%E3%81%82%E3%82%93%E3%81%9A,どりあんず,平井俊輔 堤太輝,2,11,,1996年,1996/1/1,,,吉本興業,1996年 -,,吉本興業福岡支社,,,ドリアンズ,,,ライブ中心,漫才 コントなど,,,浜ちゃんが!,トータルテンボス ザ・パンチ 永井佑一郎など,,1996年 福岡よしもとザ・オーデション優勝,
788,https://ja.wikipedia.org/wiki/%E3%83%89%E3%83%AA%E3%83%BC%E3%83%9E%E3%83%BC%E3%82%BA_(%E3%81%8A%E7%AC%91%E3%81%84),ドリーマーズ (お笑い),戸矢秀一 坂本崇裕,2,11,,2008年,2008/1/1,2016年,2016/1/1,プロダクション人力舎,2008年5月 - 2016年11月7日,,スクールJCA17期,,埼玉県立本庄高等学校の同級生,国泰,,,解散（坂本は別コンビで活動）,漫才,,,,竹内兄妹、巨匠、ピテカントロプス、ザ・フライ 他 （スクールJCA同期生）,http://www.p-jinriki.com/pc/talent/dreamers/,,
789,https://ja.wikipedia.org/wiki/%E3%83%88%E3%83%AA%E3%83%86%E3%83%B3,トリテン,おくぐちバドミントン 一徹,2,11,,2006年,2006/1/1,2020年,2020/1/1,吉本興業,2006年9月 - 2020年12月,,福岡よしもとオーディション,ダイノジ,高校の同級生,,,,テレビ・ライブなど,漫才、コント,両者,,あるあるYYテレビ,小川恵夢、S&M、爆笑特急、アタッチメント22,https://profile.yoshimoto.co.jp/talent/detail?id=2928,M-1甲子園2006宮崎予選優勝 福岡よしもとオーディション2008優勝 第２回長崎N-1グランプリ優勝,
790,https://ja.wikipedia.org/wiki/%E3%83%89%E3%83%AC%E3%82%B9_(%E3%81%8A%E7%AC%91%E3%81%84),ドレス (お笑い),金重高志 岩尾望,2,11,,1995年1月,1995/1/11,1999年3月,1999/1/13,吉本興業,1995年 - 1999年,,NSC大阪校14期,,大学の漫才研究部,,,,解散（金重は漫画家、岩尾は別コンビで活動）,コント、漫才,,,,,,,
791,https://ja.wikipedia.org/wiki/%E3%83%89%E3%83%AC%E3%83%83%E3%83%89%E3%83%8E%E3%83%BC%E3%83%88_(%E3%81%8A%E7%AC%91%E3%81%84),ドレッドノート (お笑い),アブノーマル石野 原田誠,2,11,,2008年,2008/1/1,2012年,2012/1/1,よしもとクリエイティブ・エージェンシー,2008年 - 2012年,,NSC大阪校28期,,,,,,解散,漫才、コント,,,,ポラロイドマガジン ラフ次元など,,,
792,https://ja.wikipedia.org/wiki/%E3%83%89%E3%83%AC%E3%83%9F%E5%80%B6%E6%A5%BD%E9%83%A8,ドレミ倶楽部,肥後DNA 藤田晋也 元：イノシマ全治6ヶ月,2,11,,2010年,2010/1/1,2015年,2015/1/1,太田プロ,2010年 - 2015年,,,,,,,,,漫才,,,ネタ鑑定 ワンフィフティーズなど,,,,
793,https://ja.wikipedia.org/wiki/%E3%83%88%E3%83%AC%E3%83%B3%E3%83%87%E3%82%A3%E3%82%A8%E3%83%B3%E3%82%B8%E3%82%A7%E3%83%AB,トレンディエンジェル,斎藤司 たかし,2,11,トレンディ、トレエン,2004年,2004/1/1,,,吉本興業,2005年 -,,NSC東京校10期,,NSC,,,,,漫才,両者,,,三四郎 オリエンタルラジオ フルーツポンチ はんにゃ ミルクボーイ ニッチェなど,https://profile.yoshimoto.co.jp/talent/detail?id=2745,2013年 オンバト+ 第3代チャンピオン 2014年 THE MANZAI 準優勝 2015年 M-1グランプリ 優勝,https://www.youtube.com/channel/UC8HnLeSpIHFtUd1zSqxuXOA
794,https://ja.wikipedia.org/wiki/%E3%81%A8%E3%82%8D%E3%82%B5%E3%83%BC%E3%83%A2%E3%83%B3_(%E3%81%8A%E7%AC%91%E3%81%84%E3%82%B3%E3%83%B3%E3%83%93),とろサーモン (お笑いコンビ),久保田かずのぶ 村田秀亮,2,11,,2002年,2002/1/1,,,吉本興業,2002年 -,,NSC大阪校21期（村田） NSC大阪校22期（久保田）,,,,,,,,,,,レギュラー 天津 千鳥 インパルス 毛利大亮（ギャロップ）など （村田） キングコング ダイアン NON STYLE スーパーマラドーナ 林健（ギャロップ）など （久保田）,https://profile.yoshimoto.co.jp/talent/detail?id=170,2006年 第27回ABCお笑い新人グランプリ 最優秀新人賞 2006年 オールザッツ漫才 優勝 2007年 笑いの超新星 最優秀新人賞 2008年 第38回NHK上方漫才コンテスト 最優秀賞 2017年 第13回M-1グランプリ 優勝,https://www.youtube.com/channel/UCj6LDjEmXxeFhSmmcYblGmQ
795,https://ja.wikipedia.org/wiki/%E3%83%89%E3%83%AD%E3%83%B3%E3%82%BA,ドロンズ,大島直也 石本武士,2,11,,1995年,1995/1/1,2003年,2003/1/1,マセキ芸能社,1995年 - 2003年,,,,古坂大魔王の紹介,大島石本 D.R.U.G（ドラック）,,,解散（石本はピンで活動）,コント,,,進め!電波少年 など,,,,
796,https://ja.wikipedia.org/wiki/%E3%81%A9%E3%82%93%E3%81%8D%E3%81%BB%E3%80%9C%E3%81%A6,どんきほ?て,きびのだんご 太平かつみ,2,11,,1985年,1985/1/1,1999年,1999/1/1,吉本興業,1985年12月 - 1999年11月,,NSC大阪校2期,,,,,,解散,漫才,,,,ボブキャッツ 長原成樹 角孝人 清水圭・和泉修,,,
797,https://ja.wikipedia.org/wiki/DonDokoDon,DonDokoDon,山口智充 平畠啓史,2,11,ドンドコ,1994年,1994/1/1,,,吉本興業,1994年 - 2006年,,銀座7丁目劇場のオーディション,,宝塚ファミリーランド,,,,コンビでの活動はなく、 事実上の解散状態,漫才、コント,山口智充,,爆笑オンエアバトル ワンナイR&R くさデカ,ロンドンブーツ1号2号 ペナルティ 土肥ポン太 小籔千豊 2丁拳銃 COWCOW 浜本広晃（テンダラー） 渡部建（アンジャッシュ） 設楽統（バナナマン）など,,1999年 爆笑オンエアバトル 初代チャンピオン 2000年 国立演芸場花形演芸大賞銀賞,
798,https://ja.wikipedia.org/wiki/%E3%81%A8%E3%82%93%E3%81%AD%E3%82%8B%E3%81%9A,とんねるず,石橋貴明 木梨憲武,2,11,,1980年,1980/1/1,,,アライバル（石橋） コッカ（木梨）,1980年 -,,お笑いスター誕生!!,,帝京高等学校,貴明&憲武,,,テレビ中心,コント,石橋貴明,スペシャル番組 とんねるずのスポーツ王は俺だ!!,後述,コロッケ・ブラザートム,,1982年 お笑いスター誕生!!10週勝ち抜きグランプリ 1985年 第23回ゴールデン・アロー賞芸能賞新人賞 1985年 第18回日本有線大賞最優秀新人賞 1985年 第18回全日本有線放送大賞最優秀新人賞 1985年 第14回FNS歌謡祭特別賞 1985年 第11回全日本歌謡音楽祭話題賞 1985年 第18回全日本有線放送大賞上半期新人賞 1986年 第14回銀座音楽祭特別賞 1986年 第5回メガロポリス歌謡祭特別賞 1986年 第12回全日本歌謡音楽祭特別賞 1987年 第10回日本アカデミー賞話題賞 1988年 第26回ゴールデンアロー賞芸能賞 1989年 第6回ATP賞タレント部門賞、番組部門賞 1991年 第22回日本歌謡大賞大賞,
799,https://ja.wikipedia.org/wiki/%E3%81%A9%E3%82%93%E3%81%B4%E3%81%97%E3%82%83,どんぴしゃ,あかみねとんぼ 森本ちゃん,2,11,,2003年,2003/1/1,2018年,2018/1/1,吉本興業,2003年4月 - 2018年10月,,福岡吉本,,,モンスターズ （あかみね）,,,解散（森本はピンで活動）,漫才、コント,,,,,http://www.yoshimoto.co.jp/fukuoka/talent/pc/2015/03/donpisha.php,,
800,https://ja.wikipedia.org/wiki/%E3%83%88%E3%83%B3%E3%83%95%E3%82%A1%E3%83%BC_(%E3%81%8A%E7%AC%91%E3%81%84),トンファー (お笑い),山西章博 りゅーじ,2,11,,2008年,2008/1/1,2016年,2016/1/1,よしもとクリエイティブ・エージェンシー,2008年4月 - 2016年3月,,NSC東京校11期,,,シガーロング（山西） ブルースタンダード（りゅーじ）,,,山西は夫婦コンビ「夫婦のじかん」を結成し活動中、りゅーじは引退,漫才,両者,,,エド・はるみ タカダ・コーポレーション 向井慧（パンサー） チョコレートプラネットなど,https://web.archive.org/web/20080517192834/http://tongfar.laff.jp/,,
